2007_000027,500,486,person,174,101,349,351
2007_000032,281,500,aeroplane,104,78,375,183
2007_000032,281,500,aeroplane,133,88,197,123
2007_000032,281,500,person,195,180,213,229
2007_000032,281,500,person,26,189,44,238
2007_000033,366,500,aeroplane,9,107,499,263
2007_000033,366,500,aeroplane,421,200,482,226
2007_000033,366,500,aeroplane,325,188,411,223
2007_000039,375,500,tvmonitor,156,89,344,279
2007_000042,335,500,train,263,32,500,295
2007_000042,335,500,train,1,36,235,299
2007_000061,333,500,boat,274,11,437,279
2007_000061,333,500,boat,184,214,281,252
2007_000063,375,500,dog,123,115,379,275
2007_000063,375,500,chair,75,1,428,375
2007_000068,375,500,bird,27,45,266,375
2007_000121,375,500,tvmonitor,251,28,475,267
2007_000121,375,500,tvmonitor,22,28,251,273
2007_000123,375,500,train,1,26,358,340
2007_000129,500,334,bicycle,70,202,255,500
2007_000129,500,334,bicycle,251,242,334,500
2007_000129,500,334,bicycle,1,144,67,436
2007_000129,500,334,person,1,1,66,363
2007_000129,500,334,person,74,1,272,462
2007_000129,500,334,person,252,19,334,487
2007_000170,375,500,bottle,87,100,109,165
2007_000170,375,500,bottle,41,114,73,181
2007_000170,375,500,bottle,324,148,352,206
2007_000170,375,500,bottle,426,157,443,195
2007_000170,375,500,person,3,91,43,206
2007_000170,375,500,person,4,28,461,372
2007_000175,332,500,sheep,25,34,419,271
2007_000187,375,500,tvmonitor,1,95,240,336
2007_000241,375,500,boat,356,183,500,280
2007_000241,375,500,boat,60,109,142,213
2007_000241,375,500,boat,246,134,348,217
2007_000243,333,500,aeroplane,181,127,274,193
2007_000250,375,500,diningtable,1,170,474,375
2007_000250,375,500,bottle,97,124,150,297
2007_000256,343,500,aeroplane,8,96,491,232
2007_000272,500,333,person,25,71,304,500
2007_000323,375,500,person,277,3,500,375
2007_000323,375,500,person,12,3,305,375
2007_000332,333,500,horse,54,50,285,262
2007_000333,333,500,train,1,39,367,270
2007_000346,375,500,bottle,124,107,230,343
2007_000346,375,500,person,137,78,497,375
2007_000346,375,500,person,89,202,129,247
2007_000346,375,500,person,72,209,111,259
2007_000363,333,500,bird,59,15,220,239
2007_000363,333,500,bird,161,122,500,333
2007_000364,375,500,motorbike,54,25,454,315
2007_000364,375,500,motorbike,318,37,489,161
2007_000364,375,500,person,369,1,458,130
2007_000392,332,500,horse,100,96,355,324
2007_000392,332,500,person,198,58,286,197
2007_000423,375,500,person,51,80,122,266
2007_000423,375,500,person,367,92,461,315
2007_000452,375,500,sofa,50,121,295,338
2007_000452,375,500,chair,474,140,500,284
2007_000464,500,375,cow,71,252,216,314
2007_000464,500,375,cow,58,202,241,295
2007_000480,375,500,person,293,162,419,375
2007_000480,375,500,person,114,165,228,373
